Occupation code,Job types included on the shortage occupations list,Areas of the UK where there is a shortage,Annual salary (),Special Condition
1181,director of nursing,"England, Scotland, Wales, Northern Ireland","30,720",
1181,health service manager,"England, Scotland, Wales, Northern Ireland","30,720",
1181,information manager,"England, Scotland, Wales, Northern Ireland","30,720",(health authority: hospital service)
1242,care manager,"England, Scotland, Wales, Northern Ireland","21,360",
1242,day centre manager,"England, Scotland, Wales, Northern Ireland","21,360",
1242,nursing home owner,"England, Scotland, Wales, Northern Ireland","21,360",
1242,residential manager ,"England, Scotland, Wales, Northern Ireland","21,360",(residential home)
2111,analytical chemist,Scotland only,"21,360","Scotland only ,only jobs in the nuclear industry."
2111,chemist,Scotland only,"21,360","Scotland only ,only jobs in the nuclear industry."
2111,development chemist,Scotland only,"21,360","Scotland only ,only jobs in the nuclear industry."
2111,industrial chemist,Scotland only,"21,360","Scotland only ,only jobs in the nuclear industry."
2111,research chemist,Scotland only,"21,360","Scotland only ,only jobs in the nuclear industry."
2112,biomedical scientist,"England, Scotland, Wales, Northern Ireland","23,760",
2112,forensic scientist,"England, Scotland, Wales, Northern Ireland","23,760",
2112,horticulturist,"England, Scotland, Wales, Northern Ireland","23,760",
2112,microbiologist,"England, Scotland, Wales, Northern Ireland","23,760",
2112,pathologist,"England, Scotland, Wales, Northern Ireland","23,760",
2113,engineering geologist,"England, Scotland, Wales, Northern Ireland","29,200",construction-related ground engineering industry
2113,hydrogeologist,"England, Scotland, Wales, Northern Ireland","29,200",construction-related ground engineering industry
2113,geophysicist,"England, Scotland, Wales, Northern Ireland",29200,"oil, gas and construction-related ground engineering industry"
2113,geoscientist,"England, Scotland, Wales, Northern Ireland",29200,oil and gas industry
2113,geologist,"England, Scotland, Wales, Northern Ireland",29200,oil and gas industry
2113,geochemist,"England, Scotland, Wales, Northern Ireland",29200,oil and gas industry
2113,technical services manager,"England, Scotland, Wales, Northern Ireland",29200,Only in the decommissioning and waste areas of the nuclear industry
2113,senior resource geologist,"England, Scotland, Wales, Northern Ireland",29200,Mining sector
2113,staff geologist,"England, Scotland, Wales, Northern Ireland",29200,Mining sector
2114,archaeologists,"England, Scotland, Wales, Northern Ireland","20,720",
2121,building engineer,"England, Scotland, Wales, Northern Ireland","28,000",
2121,civil engineer,"England, Scotland, Wales, Northern Ireland","28,000",
2121,highway engineer,"England, Scotland, Wales, Northern Ireland","28,000",
2121,petroleum engineer,"England, Scotland, Wales, Northern Ireland","28,000",
2121,public health engineer,"England, Scotland, Wales, Northern Ireland","28,000",
2121,site engineer,"England, Scotland, Wales, Northern Ireland","28,000",
2121,structural engineer,"England, Scotland, Wales, Northern Ireland","28,000",
2122,mechanical engineer,"England, Scotland, Wales, Northern Ireland","26,720",
2122,aeronautical engineer,"England, Scotland, Wales, Northern Ireland","26,720",
2122,aerospace engineer,"England, Scotland, Wales, Northern Ireland","26,720",
2122,automotive engineer,"England, Scotland, Wales, Northern Ireland","26,720",
2122,marine engineer,"England, Scotland, Wales, Northern Ireland","26,720",
2123,electrical engineer,"England, Scotland, Wales, Northern Ireland","29,600",
2123,electrical surveyor,"England, Scotland, Wales, Northern Ireland","29,600",
2123,equipment engineer,"England, Scotland, Wales, Northern Ireland","29,600",
2123,power engineer,"England, Scotland, Wales, Northern Ireland","29,600",
2123,signal engineer,"England, Scotland, Wales, Northern Ireland","29,600",(railways)
2124,electronics engineer,"England, Scotland, Wales, Northern Ireland","27,760",
2124,avionics engineer,"England, Scotland, Wales, Northern Ireland","27,760",
2124,broadcasting engineer,"England, Scotland, Wales, Northern Ireland","27,760",
2124,microwave engineer,"England, Scotland, Wales, Northern Ireland","27,760",
2124,telecommunications engineer,"England, Scotland, Wales, Northern Ireland","27,760",
2126,research and development engineer,"England, Scotland, Wales, Northern Ireland","27,280",
2126,design engineer,"England, Scotland, Wales, Northern Ireland","27,280",
2126,clinical engineer,"England, Scotland, Wales, Northern Ireland","27,280",
2126,development engineer,"England, Scotland, Wales, Northern Ireland","27,280",
2126,ergonomist,"England, Scotland, Wales, Northern Ireland","27,280",
2127,process engineer,"England, Scotland, Wales, Northern Ireland","26,480",
2127,production engineer,"England, Scotland, Wales, Northern Ireland","26,480",
2127,industrial engineer,"England, Scotland, Wales, Northern Ireland","26,480",
2127,chemcial engineer,"England, Scotland, Wales, Northern Ireland","26,480",
2127,production consultant,"England, Scotland, Wales, Northern Ireland","26,480",
2129,acoustician,"England, Scotland, Wales, Northern Ireland","26,160",
2129,ceramicist,"England, Scotland, Wales, Northern Ireland","26,160",
2129,food technologist,"England, Scotland, Wales, Northern Ireland","26,160",
2129,metallurgist,"England, Scotland, Wales, Northern Ireland","26,160",
2129,patent agent,"England, Scotland, Wales, Northern Ireland","26,160",
2129,project engineer,"England, Scotland, Wales, Northern Ireland","26,160",
2129,scientific consultant,"England, Scotland, Wales, Northern Ireland","26,160",
2129,technical engineer,"England, Scotland, Wales, Northern Ireland","26,160",
2129,technologist,"England, Scotland, Wales, Northern Ireland","26,160",
2129,traffic engineer,"England, Scotland, Wales, Northern Ireland","26,160",
2135,business analyst,"England, Scotland, Wales, Northern Ireland","29,280",(Computing)
2135,data communications analyst,"England, Scotland, Wales, Northern Ireland","29,280",
2135,systems analyst,"England, Scotland, Wales, Northern Ireland","29,280",
